,Averaging Time (s),Frequency (Hz),InPhase Standard Deviation X (V),InPhase X (V),OutPhase Standard Deviation Y (V),OutPhase Y (V),Power,RHeater,Thin Film Thickness,Z1 Heater Length,Z2 Heater Width,Z3 Porosity
0,1.0,30.0,0.0,0.0350955,0.0,0.000640873,0.0,0,0.0,0.0,0.0,0
1,1.0,35.393838235848406,0.0,0.0352175,0.0,0.000610355,0.0,0,0.0,0.0,0.0,0
2,1.0,41.757459502180154,0.0,0.0352175,0.0,0.000579838,0.0,0,0.0,0.0,0.0,0
3,1.0,49.26522555867186,0.0,0.0352175,0.0,0.000579838,0.0,0,0.0,0.0,0.0,0
4,1.0,58.12284746920723,0.0,0.0352175,0.0,0.00054932,0.0,0,0.0,0.0,0.0,0
5,1.0,68.57302203773372,0.0,0.0352175,0.0,0.00054932,0.0,0,0.0,0.0,0.0,0
6,1.0,80.90208164489385,0.0,0.0352175,0.0,0.000518803,0.0,0,0.0,0.0,0.0,0
7,1.0,95.44783968942585,0.0,0.0352175,0.0,0.000518803,0.0,0,0.0,0.0,0.0,0
8,1.0,112.60884659762434,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
9,1.0,132.8553100133928,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
10,1.0,156.74197837958386,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
11,1.0,184.92334091779466,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
12,1.0,218.17156048256905,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
13,1.0,257.3976306460889,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
14,1.0,303.67633671261115,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
15,1.0,358.2757045887065,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
16,1.0,422.69174440157633,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
17,1.0,498.6894408325991,0.0,0.035248,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
18,1.0,588.3511132918236,0.0,0.0352175,0.0,0.000457766,0.0,0,0.0,0.0,0.0,0
19,1.0,694.1334709910709,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
20,1.0,818.9349262115313,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
21,1.0,966.175010133913,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
22,1.0,1139.8880672066302,0.0,0.0352175,0.0,0.000488285,0.0,0,0.0,0.0,0.0,0
